index,y_pred
0,0.24
1,0.08
2,0.12
3,0.98
4,0.29
5,0.99
6,0.48
7,0.07
8,0.79
9,0.05
10,0.07
11,0.08
12,0.28
13,0.07
14,0.89
15,0.14
16,0.39
17,0.12
18,0.42
19,0.63
20,0.16
21,0.14
22,1.0
23,0.98
24,0.0
25,0.99
26,0.99
27,0.14
28,0.97
29,0.99
30,0.07
31,0.27
32,0.11
33,0.28
34,0.12
35,0.9
36,0.15
37,0.18
38,0.95
39,0.18
40,0.11
41,0.0
42,0.34
43,0.25
44,0.92
45,0.14
46,0.97
47,0.24
48,0.17
49,0.1
50,0.08
51,0.1
52,0.38
53,0.4
54,0.16
55,0.02
56,0.26
57,0.9
58,0.46
59,0.76
60,0.22
61,0.58
62,0.15
63,0.42
64,0.15
65,0.28
66,0.21
67,0.74
68,0.92
69,0.23
70,0.28
71,0.13
72,0.0
73,0.93
74,0.35
75,0.01
76,0.11
77,0.84
78,0.94
79,0.09
80,0.08
81,0.92
82,0.34
83,0.38
84,0.07
85,0.21
86,0.29
87,0.37
88,0.83
89,0.12
90,0.09
91,0.25
92,0.3
93,0.42
94,0.99
95,0.37
96,0.96
97,0.0
98,0.33
99,0.07
100,0.24
101,0.11
102,1.0
103,0.33
104,0.13
105,0.18
106,0.17
107,0.95
108,0.94
109,0.31
110,0.34
111,0.33
112,0.14
113,0.86
114,1.0
115,0.15
116,0.25
117,0.03
118,0.71
119,0.44
120,0.31
121,0.8
122,0.12
123,0.01
124,0.11
125,0.98
126,0.51
127,0.0
128,0.15
129,0.08
130,0.24
131,0.63
132,0.23
133,0.07
134,0.38
135,0.14
136,0.12
137,0.07
138,0.2
139,1.0
140,0.06
141,0.15
142,0.73
143,0.65
144,0.1
145,0.12
146,0.37
147,0.15
148,0.09
149,0.05
150,0.03
151,0.06
152,0.46
153,0.93
154,0.51
155,0.27
156,0.69
157,0.98
158,0.98
159,0.41
160,0.04
161,0.01
162,0.95
163,0.01
164,0.07
165,0.21
166,0.31
167,0.05
168,0.04
169,0.18
170,0.12
171,0.99
172,0.06
173,0.37
174,0.2
175,0.06
176,0.22
177,0.13
178,0.32
179,0.04
180,0.31
181,0.99
182,0.53
183,0.06
184,0.14
185,0.53
186,0.15
187,0.38
188,0.55
189,0.16
190,0.22
191,0.84
192,0.09
193,0.88
194,0.12
195,0.33
196,0.19
197,0.0
198,1.0
199,0.06
200,0.27
201,0.97
202,0.19
203,0.27
204,0.16
205,0.16
206,0.04
207,0.07
208,0.04
209,0.13
210,0.23
211,0.06
212,0.34
213,0.02
214,0.95
215,0.25
216,0.02
217,0.05
218,0.23
219,0.31
220,0.9
221,0.5
222,0.36
223,0.32
224,0.23
225,0.12
226,0.24
227,0.27
228,0.35
229,0.07
230,0.21
231,0.21
232,0.34
233,0.52
234,0.1
235,0.2
236,0.01
237,0.97
238,0.31
239,0.87
240,0.5
241,0.98
242,0.81
243,0.11
244,0.67
245,0.12
246,0.21
247,0.09
248,0.07
249,0.08
250,0.22
251,0.16
252,0.03
253,0.33
254,0.13
255,0.08
256,0.15
257,0.96
258,0.7
259,0.91
260,0.03
261,0.06
262,0.08
263,0.36
264,0.21
265,0.26
266,0.07
267,0.21
268,0.17
269,0.36
270,0.29
271,0.4
272,0.92
273,0.27
274,0.46
275,0.64
276,0.03
277,0.83
278,0.25
279,0.07
280,0.17
281,0.35
282,0.86
283,0.09
284,0.36
285,0.94
286,0.17
287,0.2
288,0.31
289,0.69
290,0.07
291,0.03
292,0.1
293,0.03
294,0.11
295,0.0
296,0.23
297,0.02
298,0.15
299,0.01
300,0.43
301,0.17
302,0.29
303,0.1
304,0.29
305,0.26
306,0.53
307,0.11
308,0.09
309,0.93
310,0.35
311,0.95
312,0.06
313,0.19
314,0.79
315,0.18
316,0.3
317,0.35
318,0.39
319,0.15
320,0.36
321,0.26
322,0.94
323,0.07
324,0.14
325,0.04
326,0.06
327,0.06
328,0.04
329,0.93
330,0.29
331,0.0
332,0.19
333,0.23
334,0.77
335,0.02
336,0.45
337,0.1
338,0.09
339,0.23
340,0.36
341,0.12
342,0.39
343,0.31
344,0.49
345,0.38
346,0.21
347,0.27
348,0.19
349,0.28
350,0.96
351,0.24
352,0.37
353,0.93
354,0.77
355,0.31
356,0.99
357,0.66
358,0.36
359,0.46
360,0.36
361,0.9
362,0.59
363,0.39
364,0.28
365,0.39
366,0.16
367,0.61
368,0.02
369,0.95
370,0.52
371,0.15
372,0.47
373,0.42
374,0.42
375,0.45
376,0.41
377,0.19
378,0.28
379,0.99
380,0.79
381,0.84
382,0.25
383,0.07
384,0.62
385,0.22
386,0.14
387,0.42
388,0.21
389,0.29
390,0.23
391,0.44
392,0.28
393,0.04
394,0.07
395,0.35
396,0.29
397,0.09
398,0.29
399,0.98
400,0.31
401,0.99
402,0.92
403,0.55
404,0.11
405,0.55
406,0.09
407,0.03
408,0.97
409,0.19
410,0.43
411,1.0
412,0.04
413,0.99
414,0.37
415,0.87
416,0.18
417,0.05
418,0.97
419,0.76
420,0.13
421,0.28
422,0.65
423,0.9
424,0.24
425,0.28
426,0.44
427,0.29
428,1.0
429,0.12
430,0.43
431,0.68
432,0.88
433,0.49
434,0.08
435,0.97
436,0.04
437,0.98
438,0.28
439,0.08
440,0.07
441,0.93
442,0.01
443,0.65
444,0.25
445,0.78
446,0.21
447,0.16
448,0.07
449,0.5
450,0.71
451,0.21
452,0.03
453,0.26
454,0.99
455,0.09
456,0.13
457,0.88
458,0.04
459,0.29
460,0.09
461,0.15
462,0.97
463,0.81
464,0.05
465,0.06
466,0.8
467,0.85
468,0.69
469,0.26
470,0.43
471,0.1
472,0.18
473,0.03
474,0.99
475,0.3
476,0.24
477,0.48
478,0.91
479,0.11
480,0.88
481,0.07
482,0.09
483,0.13
484,0.89
485,0.64
486,0.15
487,0.05
488,0.11
489,0.81
490,0.54
491,0.19
492,0.08
493,0.99
494,0.16
495,0.98
496,1.0
